month,state,district,activity_total,enrol_total,demo_total,bio_total,age_0_5,age_5_17,age_18_greater
2025-03-01,Andaman and Nicobar Islands,Andamans,209.0,0.0,0.0,209.0,0.0,0.0,0.0
2025-03-01,Andaman and Nicobar Islands,Nicobar,820.0,0.0,392.0,428.0,0.0,0.0,0.0
2025-03-01,Andaman and Nicobar Islands,North And Middle Andaman,1537.0,0.0,422.0,1115.0,0.0,0.0,0.0
2025-03-01,Andaman and Nicobar Islands,South Andaman,1922.0,0.0,524.0,1398.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Adilabad,10196.0,0.0,4340.0,5856.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Alluri Sitharama Raju,7426.0,0.0,4955.0,2471.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Anakapalli,3748.0,0.0,3164.0,584.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Anantapur,31956.0,0.0,19966.0,11990.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Ananthapur,26315.0,0.0,9330.0,16985.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Ananthapuramu,31452.0,0.0,10438.0,21014.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Annamayya,4472.0,0.0,3798.0,674.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Bapatla,2165.0,0.0,1885.0,280.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Chittoor,82173.0,0.0,42368.0,39805.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Cuddapah,39902.0,0.0,18747.0,21155.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2861.0,0.0,2376.0,485.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,East Godavari,80945.0,0.0,41011.0,39934.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Eluru,3421.0,0.0,2819.0,602.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Guntur,85040.0,0.0,43362.0,41678.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Hyderabad,22049.0,0.0,6740.0,15309.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,K.V. Rangareddy,17.0,0.0,0.0,17.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Kakinada,5937.0,0.0,5386.0,551.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Karim Nagar,143.0,0.0,0.0,143.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Karimnagar,2370.0,0.0,859.0,1511.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Khammam,10053.0,0.0,5393.0,4660.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Krishna,56104.0,0.0,23542.0,32562.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Kurnool,83495.0,0.0,35365.0,48130.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Mahabub Nagar,627.0,0.0,210.0,417.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Mahbubnagar,2856.0,0.0,1302.0,1554.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Medak,3860.0,0.0,1602.0,2258.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,N. T. R,9261.0,0.0,7711.0,1550.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Nalgonda,4793.0,0.0,2386.0,2407.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Nandyal,3105.0,0.0,2474.0,631.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Nellore,31492.0,0.0,17059.0,14433.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Nizamabad,1646.0,0.0,529.0,1117.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Palnadu,3808.0,0.0,3088.0,720.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Parvathipuram Manyam,2870.0,0.0,1865.0,1005.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Prakasam,55398.0,0.0,30086.0,25312.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Rangareddi,10964.0,0.0,3523.0,7441.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Spsr Nellore,116.0,116.0,0.0,0.0,43.0,44.0,29.0
2025-03-01,Andhra Pradesh,Sri Potti Sriramulu Nellore,3610.0,0.0,3282.0,328.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Sri Sathya Sai,4296.0,0.0,2921.0,1375.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Srikakulam,86763.0,0.0,42962.0,43801.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Tirupati,5311.0,0.0,4617.0,694.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Visakhapatnam,85909.0,0.0,40206.0,45703.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Vizianagaram,44507.0,0.0,22465.0,22042.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Warangal,14056.0,0.0,6895.0,7161.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,West Godavari,62750.0,0.0,29862.0,32888.0,0.0,0.0,0.0
2025-03-01,Andhra Pradesh,Y. S. R,2786.0,0.0,2151.0,635.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Anjaw,502.0,0.0,234.0,268.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Changlang,2116.0,0.0,1193.0,923.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Dibang Valley,56.0,0.0,0.0,56.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,East Kameng,433.0,0.0,0.0,433.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,East Siang,435.0,0.0,170.0,265.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Kra Daadi,328.0,0.0,131.0,197.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Kurung Kumey,629.0,0.0,0.0,629.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Lohit,728.0,0.0,264.0,464.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Longding,592.0,0.0,330.0,262.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Lower Dibang Valley,482.0,0.0,285.0,197.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Lower Siang,152.0,0.0,88.0,64.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Lower Subansiri,530.0,0.0,321.0,209.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Namsai,1090.0,0.0,603.0,487.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Pakke Kessang,18.0,0.0,0.0,18.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Papum Pare,2884.0,0.0,1474.0,1410.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Shi-Yomi,26.0,0.0,0.0,26.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Siang,301.0,0.0,184.0,117.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Tawang,342.0,0.0,144.0,198.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Tirap,355.0,0.0,253.0,102.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Upper Siang,177.0,0.0,52.0,125.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,Upper Subansiri,1794.0,0.0,676.0,1118.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,West Kameng,754.0,0.0,141.0,613.0,0.0,0.0,0.0
2025-03-01,Arunachal Pradesh,West Siang,1931.0,0.0,1266.0,665.0,0.0,0.0,0.0
2025-03-01,Assam,Baksa,7431.0,38.0,4835.0,2558.0,11.0,14.0,13.0
2025-03-01,Assam,Barpeta,22499.0,68.0,10002.0,12429.0,24.0,34.0,10.0
2025-03-01,Assam,Biswanath,4190.0,0.0,2959.0,1231.0,0.0,0.0,0.0
2025-03-01,Assam,Bongaigaon,15705.0,89.0,9380.0,6236.0,25.0,33.0,31.0
2025-03-01,Assam,Cachar,16995.0,0.0,11234.0,5761.0,0.0,0.0,0.0
2025-03-01,Assam,Charaideo,2763.0,0.0,2098.0,665.0,0.0,0.0,0.0
2025-03-01,Assam,Chirang,4545.0,56.0,1890.0,2599.0,12.0,29.0,15.0
2025-03-01,Assam,Darrang,8557.0,0.0,6480.0,2077.0,0.0,0.0,0.0
2025-03-01,Assam,Dhemaji,10047.0,85.0,6513.0,3449.0,20.0,46.0,19.0
2025-03-01,Assam,Dhubri,22747.0,416.0,11894.0,10437.0,89.0,229.0,98.0
2025-03-01,Assam,Dibrugarh,9946.0,36.0,5880.0,4030.0,10.0,12.0,14.0
2025-03-01,Assam,Goalpara,9168.0,0.0,7229.0,1939.0,0.0,0.0,0.0
2025-03-01,Assam,Golaghat,10517.0,0.0,9003.0,1514.0,0.0,0.0,0.0
2025-03-01,Assam,Hailakandi,2996.0,0.0,2033.0,963.0,0.0,0.0,0.0
2025-03-01,Assam,Hojai,7110.0,89.0,3758.0,3263.0,27.0,42.0,20.0
2025-03-01,Assam,Jorhat,7537.0,0.0,5551.0,1986.0,0.0,0.0,0.0
2025-03-01,Assam,Kamrup,9841.0,46.0,5541.0,4254.0,13.0,20.0,13.0
2025-03-01,Assam,Kamrup Metro,10270.0,0.0,5899.0,4371.0,0.0,0.0,0.0
2025-03-01,Assam,Karbi Anglong,10269.0,0.0,6867.0,3402.0,0.0,0.0,0.0
2025-03-01,Assam,Karimganj,8420.0,0.0,5941.0,2479.0,0.0,0.0,0.0
2025-03-01,Assam,Kokrajhar,9215.0,340.0,3810.0,5065.0,91.0,169.0,80.0
2025-03-01,Assam,Lakhimpur,14347.0,101.0,10343.0,3903.0,25.0,34.0,42.0
2025-03-01,Assam,Majuli,1068.0,0.0,624.0,444.0,0.0,0.0,0.0
2025-03-01,Assam,Marigaon,14018.0,546.0,8954.0,4518.0,117.0,184.0,245.0
